,full_date,Event,Location,Latitude,Longitude
366,8/31/2023,BHALO Back To School Giveaway,"172-15 Hillside Avenue, Jamaica NY 11432",40.712041,-73.789775
367,9/1/2023,The Flushing Chinese Business Association's Inauguration,"Sheraton LaGuardia East Hotel 135-20 39th Avenue, 2nd Floor Ballroom, Flushing, NY 11354",40.759707,-73.831705
368,9/1/2023,Woodside Senior Center - 4th Annual Older Adults BBQ,"50-37 Newtown Road, Woodside NY 11377",40.75384,-73.910762
369,9/4/2023,Annual Astoria Street Fair 2023,"29-11-36th Ave, Queens, NY 11106.",40.75728,-73.930939
370,9/5/2023,102 PCT Monthly Meeting,One Stop Richmond Hill Community Center 110-08 Jamaica Avenue Richmond Hill NY 11418..,40.696373,-73.837662
371,9/5/2023,102 PCT Monthly Meeting,One Stop Richmond Hill Community Center 110-08 Jamaica Avenue Richmond Hill NY 11418..,40.696373,-73.837662
372,9/6/2023,Mental Health Wellness Fair 2023,"Apicha Community Health Center, 82-11 37th Ave, Jackson Heights-Queens, NY 11372",40.749905,-73.883949
373,9/6/2023,Our Neighbors Civic Association of Ozone Park Inc. ONCA,"OLPH CHURCH BASEMENT 111-50 115th Street South Ozone Park, NY 11420",40.678207,-73.824442
374,9/7/2023,Community Board 10 Meeting,Old Mill Yacht Club 163-15 Cross Bay Blvd Howard Beach 11414,40.651917,-73.83778
375,9/8/2023,Senior Month Press Conference - 21st  Annual Senior Month,"177-01 Baisley Blvd Jamaica, NY 11434",40.686728,-73.768833
376,9/10/2023,Ozone Park Resident Block Association 2023 Annual Award Gala,"Russos On the Bay 162-45 Crossbay Blvd, Howard Beach, NY",40.652425,-73.838199
377,9/11/2023,Bayside Hills 9/11 Ceremony,Horace Harding Expressway and Bell Blvd.,40.739039,-73.810952
378,9/11/2023,Rockaway 9/11 Tribute,Tribute Park- Beach 116th Street and Beach Channel Dr Rockaway Park 11694,40.580355,-73.837515
379,9/12/2023,"Deed Theft Forum - United Neighbors Civic Association of Jamaica, Inc","177-01 Baisley Blvd Jamaica, NY 11434",40.686728,-73.768833
380,9/12/2023,103rd PCT Meeting,"York College 94-20 Guy R Brewer Blvd, Jamaica, NY 11451",40.701806,-73.796002
381,9/12/2023,Woodside Houses Resident Association,"51-12 31st Avenue, East Elmhurst, NY",40.756843,-73.90765
382,9/12/2023,103rd PCT Meeting,"York College 94-20 Guy R Brewer Blvd, Jamaica, NY 11451",40.701806,-73.796002
383,9/12/2023,Community Board 14 Meeting,Knights of Columbus 333 Beach 90 Street Rockaway Beach 11693,40.590692,-73.809749
384,9/13/2023,106 Precinct Community Council Meeting,"106th Precinct  103-53 101st St, Queens, NY 11417",40.682172,-73.839852
385,9/13/2023,Met Council's High Holiday Food Distribution,"129-01 Metropolitan Ave, Kew Gardens 11415",40.703897,-73.823301
386,9/14/2023,South Jamaica Houses Resident Association,"South Jamaica Houses - 109-04 160th Street Jamaica, NY 11433",40.693878,-73.79219
387,9/14/2023,Hamilton Beach Civic Association,"Howard Beach Motor Boat Club 59 Russell St, Howard Beach, NY 11414",40.654238,-73.831998
388,9/18/2023,Queens College Reception for the DA's Piano Donation,"Queens College 65-30 Kissena Blvd, Flushing, NY 11367	",40.735855,-73.815751
389,9/19/2023,115th Precinct Community Council Meeting,"115th Precinct 92-15 Northern Blvd, Queens, NY 11372",40.751146,-73.882508
390,9/20/2023,101 Precinct Community Council Meeting,"COGCA 1332 Central Ave, Far Rockaway, NY 11691",40.606941,-73.750054
391,20,112 PCT Council Meeting,107-15 Metropolitan Avenue QUEENS NY,40.709689,-73.846026
392,9/21/2023,South Jamaica Houses Resident Association,"South Jamaica Houses - 109-04 160th Street Jamaica, NY 11433",40.693878,-73.79219
393,9/21/2023,Senior Safety Summit,"Rochdale Village 169-65 137th Ave, Queens, NY 11434",40.674088,-73.770908
394,9/21/2023,Community Board 3 Meeting,"Diversity Plaza 73-19 37th Rd, Flushing, NY 11372",40.747294,-73.891757
395,9/26/2023,107 PCT Monthly Meeting,"71-01 Parsons Blvd, Fresh Meadows NY11365",40.728525,-73.811172
396,9/26/2023,Howard Beach Lindenwood Civic Association Meeting,"St. Helen Catholic Academy 83-09 157th Ave, Howard Beach, NY 11414",40.661395,-73.849873
397,9/27/2023,105th Pct Council Meeting,92-08 222 Street Queens Village 11428,40.726324,-73.735043
398,9/27/2023,Richmond Hill Block Association Monthly Meeting,"110-08 Jamaica Avenue, Richmond Hill NY 11418",40.696373,-73.837662
399,9/27/2023,PSA 9 Precinct Community Council Meeting,"South Jamaica Houses - 109-04 160th Street Jamaica, NY 11433",40.693878,-73.79219
400,9/27/2023,Lieutenants Benevolent Association Meeting,96 43 Springfield Blvd Queens Village,40.717928,-73.735365
401,9/28/2023,"Alphapointe's ""Champions of Opportunity"" Celebration","Villa Russo, 101-12 Lefferts Blvd, Richmond Hill, NY 11419",40.687951,-73.825011
402,10/3/2023,102 PCT Monthly Meeting,One Stop Richmond Hill Community Center 110-08 Jamaica Avenue Richmond Hill NY 11418..,40.696373,-73.837662
403,10/4/2023,Captains Endowment Association Meeting,"96 43 Springfield Blvd, Queens Village",40.717928,-73.735365
404,10/7/2023,Queens Public Library Resource Fair,"89-11 Merrick Blvd, Queens, NY 11432",40.707651,-73.795027
405,10/10/2023,Woodside Houses Resident Association,"51-12 31st Avenue, East Elmhurst, NY",40.756843,-73.90765
406,10/10/2023,103 Pct Council meeting,"York College 94-20 Guy R Brewer Blvd, Jamaica, NY 11451",40.701806,-73.796002
407,10/10/2023,Community Board 14,Knights of Columbus 330 Beach 90th Street Rockaway Beach 11694,40.57661,-73.84276
408,10/11/2023,106th Precinct Community Council,"106th Precinct  103-53 101st St, Ozone Park 11417",40.682172,-73.839852
409,10/12/2023,Hamilton Beach Civic Association,"Howard Beach Motor Boat Club 59 Russell Street Hamilton Beach 11414
",40.654238,-73.831998
410,10/15/2023,Prayers for Israel - Emergency Community Gathering,"Israel Center of Conservative Judaism 167-11 73rd Avenue, Flushing NY 11366",40.728226,-73.801298
411,2023-10-,113th Pct Council Meeting,"115-62 Sutphin Blvd., Jamaica, NY 11436",40.672823,-73.786867
412,10/17/2023,115th Precinct Council  Meeting,"92-15 Northern Blvd, Jackson Heights, NY 11372",40.756737,-73.87565
413,10/18/2023,112 PCT Council Meeting,107-15 Metropolitan Avenue QUEENS NY,40.709689,-73.846026
414,10/18/2023,101 Precinct Council Meeting,"COGCA 1332 Central Ave, Far Rockaway, NY 11691",40.606941,-73.750054
415,10/18/2023,Queens Village Civic Association Monthly Meeting,"Lady of Lourdes School Building 92-70 220th Street, Entrance 220th Street (Springfield blvd)",40.606941,-73.750054
416,10/19/2023,Meet and Greet with South Asians,131-72 40th Road Flushing NY 11354,40.756737,-73.834529
417,10/19/2023,Community Board 3 Meeting,"Langston Hughes Library 100-01 Northern Blvd, Corona, NY 11368 ·",40.757526,-73.868213
418,10/20/2023,Rockaway DV Awareness Event,Rockaway Beach Boulevard and 84th Street in Rockaway Beach,40.581493,-73.829978
419,10/24/2023,107 PCT Monthly Meeting,"71-01 Parsons Blvd, Fresh Meadows NY11365",40.728525,-73.811172
420,10/25/2023,105th Pct Meeting,92-08 222 Street Queens Village,40.725941,-73.734628
421,10/25/2023,Richmond Hill Block Association Monthly Meeting,"110-08 Jamaica Avenue, Richmond Hill NY 11418",40.696373,-73.837662
422,10/25/2023,100th Precinct Community Council Meeting,Knights of Columbus 330 Beach 90th Street Rockaway Beach 11694,40.57661,-73.84276
423,10/28/2023,Flying 360 DV 5k and Lunch,Dredsurfer Grill Beach 17th Street and Seagirt Boulevard,40.596932,-73.750948
426,10/29/2023,Electrical Welfare Fund Breakfast,67-35 Parsons Blvd. Flushing 11365,40.733039,-73.810296
427,10/30/2023,Howard Beach Lindenwood Civic Association Meeting,"St. Helen Catholic Academy 83-09 157th Ave, Howard Beach, NY 11414",40.661395,-73.849873
428,11/2/2023,Bellerose Commonwealth Civic Associaiton,"Holy Trinity Church 246-55 87th Ave, Queens, NY 11426",40.730257,-73.719725
429,11/2/2023,Community Board 10 Meeting,Old Mill Yacht Club 163-15 Cross Bay Boulevard n Howard Beach,40.601639,-73.820264
430,11/7/2023,102 PCT Monthly Meeting,One Stop Richmond Hill Community Center 110-08 Jamaica Avenue Richmond Hill NY 11418..,40.696373,-73.837662
431,11/9/2023,Diwali venue walkthru,"Gulshan Terrece     59-15 37th Ave, Queens, NY 11377",40.749875,-73.902752
432,11/11/2023,Bangladesh Medical Association North America Meeting,Laguardia Marriot Hotel 102-05 Ditmars Blvd NY 11369,40.76867,-73.8677
433,11/12/2023,Greater Allen AME Veterans Day Brunch,Greater Allen AME Cathedral110-31 Merrick Blvd Jamaica,40.709277,-73.796434
434,11/13/2023,QDQ Diwali Celebration,"Gulshan Terrece     59-15 37th Ave, Queens, NY 11377",40.749875,-73.902752
435,11/14/2023,Theodora G. Jackson Senior Center - Elder Fraud & Elder Abuse Presentations,"92-47 165th Street Jamaica, NY 11433",40.70433,-73.79386
436,11/14/2023,1199SEIU Queens Listening Tour,"67-09 108th Street, Forest Hills, NY 11375",40.728676,-73.847202
437,11/14/2023,Woodside Houses Resident Association,"51-12 31st Avenue, East Elmhurst, NY",40.756843,-73.90765
438,11/14/2023,Community Board 4 Meeting,"79-01 Broadway, Queens, NY 11373, USA",40.744586,-73.886173
439,11/14/2023,103 pct Council Meeting,"York College 94-20 Guy R Brewer Blvd, Jamaica, NY 11451",40.701806,-73.796002
440,11/14/2023,Community Board 14 Meeting,Knights of Columbus 330 Beach 90 Strett Rockaway Beach 11693,40.590692,-73.809749
441,11/14/2023,Queens Symphony Orchestra Gala,Russo's On the Bay 162-45 Cross Bay Blvd NY 11414,40.652903,-73.838019
442,11/15/2023,112 PCT Council Meeting,107-15 Metropolitan Avenue QUEENS NY,40.709689,-73.846026
443,11/16/2023,Community Board 3 Meeting,"Langston Hughes Library 100-01 Northern Blvd., 11368, Corona",40.757442,-73.867463
444,11/18/2023,Turkey Giveaway,"Thomas White Jr. Foundation (162-04 Tuskegee Airmen Way, Queens, NY 11433)",40.699375,-73.794182
445,11/18/2023,Turkey Giveaway,"P.S. 149Q The Christa McAuliffe School Courtyard (93-11 34th Ave, Queens, NY 11372)",40.755089,-73.874228
446,11/21/2023,115 Precinct Community Council Meeting,"115th Precinct  92-15 Northern Blvd, Queens, NY 11372",40.751146,-73.882508
447,11/28/2023,107 PCT Monthly Meeting,"71-01 Parsons Blvd, Fresh Meadows NY11365",40.728525,-73.811172
448,12/2/2023,The Greater Allen AME Cathedral - Elder Fraud Presentation,"110-31 Merrick Blvd Jamaica, NY 11434",40.694906,-73.781491
449,12/2/2023,Vietnam of Vets of America Chap 32 Christmas Party,"61-57 Maspeth Avenue Maspeth, NY 11378",40.722968,-73.902411
450,11/3/2023,Congresswoman Grace Meng Chanukah Party,"Union Plaza Care Center, 33-23 Union St, Queens, NY 11354.",40.767323,-73.826925
451,12/4/2023,Elmcor Golden Phoenix Club 1 (Senior Center),"98-19 Astoria Blvd. East Elmhurst, NY 11369",40.762403,-73.870607
452,12/5/2023,Queens Borough Presidents Cabinet Meeting,120-55 Queens Boulevard,40.746825,-73.938986
453,12/5/2023,102 PCT Monthly Meeting,One Stop Richmond Hill Community Center 110-08 Jamaica Avenue Richmond Hill NY 11418..,40.696373,-73.837662
454,12/10/2023,Kissena Park Civic Association Meeting,"Parsons Blvd. and Jasmine Ave., Flushing",40.749152,-73.810003
455,12/12/2023,Community Board 4 Meeting,"79-01 Broadway, Queens, NY 11373, USA",40.744586,-73.886173
456,12/16/2023,AGAPE Coat Drive with Eagle Academy III,"171-10 Linden Blvd, Queens, NY 11434",40.691553,-73.778555
457,12/17/2023,Oratorio Society of Queens Holiday Concert,"222-05 56th Ave, Bayside 11364",40.755787,-73.756818
458,12/17/2023,Public Safety Townhall with United Sikh Community,"The Sikh Cultural Society (9530 118th St, South Richmond Hill, NY 11419).",40.690987,-73.828253
459,12/17/2023,Toy Giveaway & Luncheon with AGAPE & Senator Comrie,"Club Jouvay,  147-02 Liberty Ave, Queens, NY 11435",40.696241,-73.804112
460,12/18/2023,113 Pct Community Council Christmas Party,Merrick Park Baptist Church 120-02 Marsden street,40.682683,-73.775593
461,12/19/2023,From Hate to HOPE,"87-41 165th Street, Jamaica NY 11432",40.709583,-73.797895
462,2023-12-,101 Precinct Community Council Meeting,"1332 Central Ave # 1336, Far Rockaway 11691",40.606941,-73.750054
463,12/21/2023,PS 50Q Toy Drive,"P.S. 50 Talfourd Lawn Elementary School:  143-26 101st Ave, Queens, NY 11435",40.695142,-73.806931
464,12/22/2023,Himalayan Holiday Party,"Himalayan Yak Restaurant, 72-20 Roosevelt Avenue Jackson Heights NY 11372",40.74658,-73.892782
465,12/26/2023,Elder Abuse presentation by Laurie Woods,"Desi Senior Center (India Home) 85-37 168th Street, Jamaica NY 11432",40.712551,-73.795818
466,12/27/2023,BP Kwanzaa Celebration,"Borough Hall, Queens BLVD Kew Gardens NY",40.762921,-73.904043
467,12/27/2023,105th PCT Council meeting,105th Pct House Queens Village,40.756886,-73.863447
468,12/28/2023,Elder Abuse presentation by Bill Jorgenson,"Desi Senior Center (India Home) 85-37 168th Street, Jamaica NY 11432",40.712551,-73.795818
469,6/17/2024,Academic Success Tutoring Program Awards Ceremony,169-65 137th Avenue Rochdale Villate Jamaica NY 11434,40.674088,-73.770908
470,10/7/2024,Greater Springfield Graduation Ceremony YCJP,177-06 129th Avenue Jamaica . NY 11434,40.680303,-73.765213
471,12/30/2023,Tamu Pariwar Lhochhar Event,"Tibetan Hall 57-12 Tibet Way 32nd Avenue, Woodside NY 11377",40.742627,-73.907989
473,1/13/2022,PPE/Mask Pick Up,95-15 Waltham Street,40.69691,-73.806915
474,1/14/2022,Alpha Phi Alpha Coat Giveaway Preparation,220-01 Linden Boulevard,40.704592,-73.908247
475,1/17/2022,No Cold Shoulders - Alpha Phi Alpha Winter Coat Giveaway,220-01 Linden Boulevard,40.704592,-73.908247
476,,NYPD DESI Society General Membership Meeting,"257-05, Union Turnpike, Glen Oaks NY 11004",40.746013,-73.714315
477,,112th Precinct Community Council Event to Honor Fallen Officers,"6840 Austin St., Forest Hills, NY 11375",40.722337,-73.851021
478,,"Inauguration Ceremony for the Honorable Nantasha Williams NYC Council Member, 27th District","York College Atrium 94-20 Guy R Brewer Blvd. Jamaica, NY 11451",40.701806,-73.796002
479,,DAK Visit 3rd officer Sumit Sulan's resident,"139-14, Glassboro Avenue, NY 11435",40.685774,-73.805057
480,,Black History Month Celebration,"177-01 Baisley Blvd, Jamaica, NY 11434",40.686728,-73.768833
481,,Joint PSA9 Precinct Council Meeting,"Ravenswood Houses Community Center 35-40 21st St. Queens, NY 11106",40.760486,-73.936701
482,,Juice 101 NYC Presents PPE Distribution,"97-16, 101st Avenue Queens NY 11416",40.684833,-73.843549
483,,A J Vision Roller Sk8 Project,"Cogca Gym 1332 Central Ave Far Rockaway, NY 11691",40.606941,-73.750054
485,,Yuhans Way Fundraising   Dinner,"DA MIKELE ILLAGIO 79-17 Albion Avenue, Queens NY 11373",40.739123,-73.885323
486,,Mt. Olivet Baptist Church,"20203 Hollis Ave, Jamaica, NY 11412",40.706498,-73.755551
487,,Majority Baptist Church,"11521 Farmers Blvd, Queens, NY 11412",40.685472,-73.760715
488,,Evangel Temple Ministries,"22710 Merrick Blvd, Laurelton, NY 11413",40.676715,-73.742755
489,,NYPD DESI Society General Membership Meeting,"Shirazi  Cafe, 183-10, Horace  Harding Expy, Queens, NY 11365",40.738884,-73.790067
490,,Domincan Independence Day Event in Woodhaven,76-20 Jamaica Avenue in Woodhaven,40.691532,-73.8651
491,,102 Precinct Community Council Meeting,One Stop Richmond Hill Community Center. 110-08 Jamaica Avenue NY,40.696866,-73.837167
492,,111 Precinct Community Council Meeting,"45-06 215th St, Bayside, NY 11361",40.760229,-73.767586
493,,Maha Shivrati event,"Hindu Center, 45-52 Kissena Blvd, Flushing NY 11355",40.750925,-73.819718
494,,Rockaway Beach Civic Association Meeting,"5820 Little Neck Parkway, Little Neck 11362",40.761128,-73.723238
495,,Commonpoint Queens Ribbon Cutting,"5820 Little Neck Parkway, Little Neck 11362",40.761128,-73.723238
496,,Jackson Heights Bangladeshi Business event.,"Gulshan Terrace 59-15 37th Avenue, Woodside NY 11377",40.749875,-73.902752
497,,Queens County St. Patrick's Day Parade in Rockaway,"Beach 129th Street & Newport Avenue, Rockaway, NY 11694",40.57661,-73.84276
498,,St. Pats for All Parade in Sunnyside,"43rd Street & Skillman Avenue, Sunnyside, NY 11104",40.751091,-73.920123
500,,Queens College Venue visit,"65-30 Kissena Blvd, Queens, NY 11367",40.735855,-73.815751
501,,Meeting with Police Officer Jazzlyn Farrell,"105 PCT    92-08 222nd St, Queens Village, NY 11428",40.726301,-73.734551
502,,Ozone Park Residents Block Association,Deshi Senior center 83-10 Rockaway Blvd Ozone Park NY 11416,40.683689,-73.857163
503,,Namakaranam Consecration Puja Ceremony of Aciriyar Vijah Ramjattan,"Yoga Shakti Durga Temple 114-41 Lefferts Blvd, South Ozone Park NY 11420",40.677633,-73.819773
504,,Bangladesh American Police Association,"Bakhter Halal Kabab, 68-16, Freshmeadows, Flushing NY 11365",40.738884,-73.790067
505,,CM Selvena Brooks-Powers Inauguration event,"233-15 Merrick Blvd. Queens, NY 11422",40.675003,-73.736627
506,,Commonpoint Queens Purim Luau,"58-20 Little Neck Pkwy, Little Neck, NY 11362",40.761128,-73.723238
507,,104 Precinct Community Council Meeting,"6605 79th Place, Middle Village 11379",40.715705,-73.872947
508,,115th Precinct Community Council Meeting,"115TH Precinct  92-15 Northern Blvd, Jackson Heights, NY 11372",40.751146,-73.882508
509,,Juniper Park Civic Association Meeting,"6121 71 St., Middle Village 11379",40.7208,-73.886705
510,,"Celebrating Our Queens - Greater Bethel Community Development, Rochdale Village Senior Committee & Center Women's History Month Event","Rochdale Village Ballroom Courtyard - 169-65 137th Avenue, Jamaica, NY 11434",40.674088,-73.770908
512,,Bayside St. Patrick's Day Parade,Assemble at 36th Ave. between Bell Blvd and 214th Place (East side of Bell Blvd),40.770094,-73.771552
513,,Prothom Alo Annual Gathering,Agra Indian Resturant in Queens Blvd,40.747509,-73.939336
514,,Recognition of our newly inducted judges - Interfaith Council for Community  Development (ICCD,"Richie Rich Palace 110-19 Atlantic Avenue Richmond Hills, NY 11418",40.69224,-73.835195
515,,Howard Beach Lindenwood Civic Association,"St. Helen Catholic Academy 83-09 157th Ave, Howard Beach, NY 11414",40.661395,-73.849873
516,,Ramadan Special free Halal Food & Grocery Distribution,"29-11, 36th Avenue, Astoria NY 11106",40.75728,-73.930939
517,,111 Precinct Community Council Meeting,"45-06 215th Street, Bayside, NY 11361",40.760229,-73.767586
518,,102 Precinct Community Council Meeting,"One Stop Richmond Hill Community Center  110-08 Jamaica Avenue, Richmond Hill NY 11418",40.696373,-73.837662
519,,Our Neighbors of Ozone Park Civic Association Meeting,"St. Anthony Of Padua Church127-17 135th Street. South Ozone Park, NY 11420",40.686317,-73.808885
520,,Interfaith Ramadan Iftar and Dinner,"Baituz Zafar Mosque, 188-15 Mclaughlin Avenue, Holliswood, NY 11423
",40.721908,-73.775923
521,,Rock Safe Streets Shooting Response,"57-15 ShoreFront Parkway, Far Rockaway NY 11692",40.591587,-73.787667
522,,Community Board 9 General Meeting,"Villa Russo II Palazzo, 101-12 Lefferts Blvd, Richmond Hill, NY 11419",40.687951,-73.825011
523,,Jackson Heights Bangladeshi Business Ramadan event.,"59-13 37th avenue, Woodside NY 11377",40.749936,-73.903
524,,Hamilton Beach Civic Association Meeting,"Howard Beach Motor Boat Club 59 Russell Street Howard Beach, NY",40.655851,-73.82928
525,,Elmcor Ground-Breaking Event,"104-10 Northern Boulevard, Queens, NY 11368 and 33-16 108TH Street Corona, NY 11368",40.655851,-73.82928
526,,Gun Buy Back Flyer dropped off,105th Pct Queens Village,40.756886,-73.863447
527,,115th Precinct Community Council Meeting,"92-15 Northern Blvd.,Jackson Hgts 11372",40.756737,-73.87565
528,,PBQS/Violence Interrupters meeting,"71-01 Parsons Blvd, Fresh Meadows, NY 11365",40.730117,-73.810739
529,,Gun Buy Back Flyer dopped off,"89-11 Merrick Blvd, Queens, NY 11432",40.707651,-73.795027
530,,Juniper Park Civic Association Meeting,"6121 71 St., Middle Village 11379",40.7208,-73.886705
531,,Jamaica Muslim Center visit with DA & Governor,"85-37 JMC Way, Jamaica, NY 11432",40.709827,-73.805954
532,,IBTV Ramadan Iftar Celebration,"World's Fair Marina, 1 Marina Rd Flushing, NY 11368",40.748751,-73.854333
533,,Gun Buy Back Flyer distribution,"Pomonock housing   67-09 Kissena Blvd, Queens, NY 11367",40.735162,-73.81409
534,,Annual 5K Autism Walk//NYPD School Safety Division & NYPD  Community Affairs,"Cunningham Park 196-10 Union Turnpike Fresh Meadows, NY 11366",40.727277,-73.790772
535,,Gun Buy Back,"Praise Tabernacle 108-11 Sutphin Blvd. Ja., NY",40.692479,-73.798823
536,,Church Visit New Greater Bethel Ministries,"215-31 Jamaica Avenue Queens Village, NY 11428",40.717512,-73.73963
537,,NYPD DESI Society General Membership Meeting,"257-05 Union Turnpike, Glen Oaks NY 11004",40.746013,-73.714315
538,,114th Precinct Community Council  Meeting,"25-22 Astoria Blvd, Queens, NY 11102",40.771006,-73.922089
539,,Howard Beach Lindenwood Civic Association,"St. Helen Catholic Academy 83-09 157th Ave, Howard Beach, NY 11414",40.661395,-73.849873
540,,105 Precinct Community Council Meeting,"92-08 222nd St, Queens Village, NY 11428",40.726324,-73.735043
542,,A Crime Prevention Forum,"113-10 Farmers Blvd., St. Albans, NY 11412",40.699187,-73.763094
543,,Eid-ul Fitr Prayer,"85-37 JMC Way, Jamaica, NY 11432",40.709827,-73.805954
544,,Edgemere Civic Association Meeting,"https://us02web.zoom.us/j/88297424828?pwd=TE1UU0JLU2tlNmtISVFpSjBZeXFJZz09 Meeting ID: 882 9742 4828  Passcode: 848226
",40.709827,-73.805954
545,,Supply/Swagg Donation - SEQ Field Day,11517 158th Street Jamaica NY 11434,40.686472,-73.787045
546,,111 Precinct Community Council Meeting,"45-06 215th St, Bayside, NY 11361",40.760229,-73.767586
547,,102 Precinct Community Council Meeting,"One Stop Richmond Hill Community Center  110-08 Jamaica Avenue, Richmond Hill NY 11418",40.696373,-73.837662
548,,Our Neighbors of Ozone Park Civic Association Meeting,"St. Anthony of Padua Church Basement-127-17 135th Street. South Ozone Park, NY 11420",40.672315,-73.803591
549,,Queens Clergy Breakfast,"Rochdale Community Center 169-65 137th Ave Jamaica, NY 11434",40.674088,-73.770908
550,,78 Charitable Corp Gala,"52-11 111th St, Queens, NY 11368",40.74422,-73.850816
551,,Ribbon Cutting--Commonpoint Older Adult Center at Bay Terrace,"212-00 23rd Avenue, Bayside, NY 11360",40.781373,-73.777855
552,,Hamilton Beach Civic Association Meeting,"Howard Beach Motor Boat Club 59 Russell Street Howard Beach, NY",40.655851,-73.82928
553,,110 Precicnt Community Council meeting,"43-22 Ithaca Street, Elmhurst NY 11373",40.743218,-73.876523
554,,Fathers Alive in the Hood Peace Walk in Far Rockaway,Rockaway Beach Boulevard and Beach 84th Street,40.581493,-73.829978
555,,Oritario Soceity of Queens Spring Concert,"St. Kevin Roman Catholic Church 45-21 194th Street, Flushing",40.754847,-73.787402
556,,113 Precinct Community Council Meeting,"https://us02web.zoom.us/j/84318503945?pwd=hj4iW7E6mZ_3eCIibEHnB667KYfOU6.1
Meeting ID: 843 1850 3945
Passcode: 113",40.754847,-73.787402
557,,Greater Springfield Community Church,177-06 129th Ave Ja NY 11434,40.680303,-73.765213
559,,115th Precinct Community Council,"92-15 Northern Blvd.,Jackson Hgts., NY, 11372",40.756737,-73.87565
560,,112th Community Council Meeting,"American Legion Hall, 107-15 Metropolitan Avenue",40.709689,-73.846026
561,,PSA 9 Meet and Greet Captain Sullivan,125-01 Queens Blvd. 3rd Floor Conference Room,40.746825,-73.938986
562,,"Making Safety a Priority for Judges, Attorneys, & Our Community",Zoom                                                                                                                                                              Meeting ID: 883 0674 1438                                                                                                                           Passcode: 506169                                                                                  https://us02web.zoom.us/j/88306741438?pwd=VlMwRXRhVHM3ZjlvcDlDUTVJdnpuQT09,40.746825,-73.938986
563,,American Legion Post 1896 Community Day Celebration,110-02 Merrick Blvd.  Jamaica,40.695237,-73.78211
564,,VFW 100TH Annual Gala and Testimonial,"Knights of Columbus Hall 49-18 Queens Boulevard Woodside, NY 11377",40.742467,-73.915196
565,,Street Conaming & Tree Planting Ceremony Ann Jawin Way,"Intersection of 233rd St. & 39th Ave., Douglaston, NY 11363",40.742467,-73.915196
566,,NYC Council Speaker Adams 2022 State of the City,"York College 94-20 Guy R Brewer Blvd, Jamaica, NY 11451",40.701806,-73.796002
567,,Celebrate Israel Parade,55th Street between 5th and 6th Avenues,40.701806,-73.796002
568,,Ivan Mrakovcic Street Renaming Ceremony,"Corner of 114th Street & 85th Ave., Richmond Hill, NY 11418",40.695459,-73.833377
569,,114th Precinct Community Council Meeting,"25-22 Astoria Blvd, Queens, NY 11102",40.771006,-73.922089
570,,105 Precinct Community Council Meeting / Human Trafficking,"92-08 222nd St, Queens Village, NY 11428",40.726324,-73.735043
571,,DA's Memorial Day Observance Ceremony,"Vietnam Veterans Memrorial in Elmhurst Park  79th St abd Grand Ave, Elmhurst, NY 11373",40.730286,-73.887912
572,,Anti-Asian Hate Crime March,"Macdonald Park 8720 Queens Blvd., Forest Hills, NY 11375",40.734929,-73.875858
573,,Wheelchair Charities 33rd Annual Award Gala,"Marriott New York LaGuardia 102-05 Ditmars Boulevard East Elmhurst, NY 11369",40.76867,-73.8677
574,,Forest Hills Memorial Day Parade,"American Legion Post 1424, 107-15 Metropolitan Avenue, Forest Hills 11375",40.723041,-73.843688
575,,Laurelton Memorial Day Parade,"Veterans Memorial Triangle (park), 225 Street and North Conduit Avenue, Laurelton 11413",40.666395,-73.751759
576,,Rosedale Memorial Day Parade,243rd Street between Mayda Road and 145th Avenue,40.677844,-73.728093
577,,Howard Beach Lindenwood Civic Association,"St. Helen Catholic Academy 83-09 157th Ave, Howard Beach, NY 11414",40.661395,-73.849873
578,,Empower My Hood Inc - Certrificate Drop Off,"11343 Farmers Blvd, Queens, NY 11412",40.698244,-73.762218
579,,111 Precinct Community Council Meeting,"45-06 215th St, Bayside, NY 11361",40.760229,-73.767586
580,,102 Precinct Community Council Meeting,"One Stop Richmond Hill Community Center  110-08 Jamaica Avenue, Richmond Hill NY 11418",40.696373,-73.837662
581,,South Asian & Indo-Caribbean Bar Association of Queens Annual Gala,"Agra Palace 116-33 Queens Blvd,  Forest Hills, NY 11375",40.71583,-73.832631
583,,World Elder Abuse Day at Woodside Houses,"Woodside Senior Center, 50-37 Newtown Road",40.753694,-73.91128
585,,Latinas on the Verge of Excellence (LOVE) Community Fair,"Elmhurst Hospital 79-01 Broadway, Queens, NY 11373",40.744586,-73.886173
586,,Dre Street Renaming,255th St & Hook Creek Blvd.,40.776748,-73.741442
587,,104 Precinct Community Council Meeting,"6002 Maspeth Ave., Maspeth 11378",40.722982,-73.905854
588,,Queens County Women's Bar Association Dinner,"Russo’s on the Bay – 162-45 Cross Bay Blvd, Howard Beach NY 11414",40.652903,-73.838019
589,,Rockaway Park Resource Fair,Beach Channel HS 100-00 Beach Channel Drive Rockaway Beach,40.585879,-73.823193
590,,114th Precinct Community Council Meeting,"25-22 Astoria Blvd, Queens, NY 11102",40.771006,-73.922089
591,,PBQS Shooting Statistics Meeting,"107th Precinct Muester Room 71-01 Parsons Blvd, Fresh Meadows, NY 11365",40.730117,-73.810739
592,,105 Precinct Community Council Meeting,"St. Clare Church 137-35 Brookville Blvd, Laurelton, NY 11424",40.668603,-73.736475
