,index,full_date,Date,Month,Week #,Day,Year,Event,Staff Supervisor,Event Coordinator,DA Speaking?,Time,Briefing,Location,Location_Parse,location_parse,address_string,zip,county,state,city,Latitude,Longitude,Accuracy Score,County,Source,review,is_zoom,Manually Add Address,dedupe_mask,is_zoom_v2,is_blank,lat_long_gmaps
849,849,6/24/2023,24-Jun,6,26,Sat,2023,Borough Presidents Juneteenth Event,Shana,Brittany Scott,YES,11:00 AM,Shana,Laurelton Long Island Railroad - 225th & 141st Road LAurelton,"[('Laurelton', 'StreetName'), ('Long', 'StreetName'), ('Island', 'StreetName'), ('Railroad', 'StreetName'), ('225th', 'StreetName'), ('&', 'IntersectionSeparator'), ('141st', 'StreetName'), ('Road', 'StreetNamePostType'), ('LAurelton', 'PlaceName')]","[('Laurelton', 'StreetName'), ('Long', 'StreetName'), ('Island', 'StreetName'), ('Railroad', 'StreetName'), ('225th', 'StreetName'), ('&', 'IntersectionSeparator'), ('141st', 'StreetName'), ('Road', 'StreetNamePostType'), ('LAurelton', 'PlaceName')]",Laurelton Long Island Railroad 225th  LAurelton,,Queens,New York,New York City,40.676253,-73.732134,0.9,Queens County,TIGER/Line® dataset from the US Census Bureau,No Review Needed,FALSE,,ShanaBrittany ScottJun-2411:00 AM,FALSE,FALSE,
850,850,6/24/2023,24-Jun,6,26,Sat,2023,Queensbridge Family Day,Marlon,Corrine Murhoy,NO,11:00 AM,No,"Jacob Riis Settlement - 10-25 41st Street, Long Island City","[('Jacob', 'Recipient'), ('Riis', 'Recipient'), ('Settlement', 'Recipient'), ('10-25', 'AddressNumber'), ('41st', 'StreetName'), ('Street,', 'StreetNamePostType'), ('Long', 'PlaceName'), ('Island', 'PlaceName'), ('City', 'PlaceName')]","[('Jacob', 'Recipient'), ('Riis', 'Recipient'), ('Settlement', 'Recipient'), ('10-25', 'AddressNumber'), ('41st', 'StreetName'), ('Street,', 'StreetNamePostType'), ('Long', 'PlaceName'), ('Island', 'PlaceName'), ('City', 'PlaceName')]",10-25 41st Street Long Island City,,Queens,New York,New York City,40.7555691,-73.9445649,0.8,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,MarlonCorrine MurhoyJun-2411:00 AM,FALSE,FALSE,"[40.7555691, -73.9445649]"
851,851,6/24/2023,24-Jun,6,26,Sat,2023,Health Awareness Fair - Thomas White Jr. Foundation,Marlon,Debra Johnson,NO,11:00 AM,No,Baisley Pond Park - Baisley Blvd & 157th St.,"[('Baisley', 'StreetName'), ('Pond', 'StreetName'), ('Park', 'StreetName'), ('Baisley', 'StreetName'), ('Blvd', 'StreetNamePostType'), ('&', 'IntersectionSeparator'), ('157th', 'StreetName'), ('St.', 'StreetNamePostType')]","[('Baisley', 'StreetName'), ('Pond', 'StreetName'), ('Park', 'StreetName'), ('Baisley', 'StreetName'), ('Blvd', 'StreetNamePostType'), ('&', 'IntersectionSeparator'), ('157th', 'StreetName'), ('St.', 'StreetNamePostType')]",Baisley Pond Park Baisley Blvd,,Queens,New York,New York City,40.6737751,-73.786025,0.9,Bronx County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,MarlonDebra JohnsonJun-2411:00 AM,FALSE,FALSE,"[40.6737751, -73.786025]"
852,852,6/25/2023,25-Jun,6,26,Sun,2023,2nd Annual Men’s Day - Guy R. Brewer Democratic Club,Marlon,Margaret Denson,YES,3:00 PM,Marlon,197-01 Linden Boulevard,"[('197-01', 'AddressNumber'), ('Linden', 'StreetName'), ('Boulevard', 'StreetNamePostType')]","[('197-01', 'AddressNumber'), ('Linden', 'StreetName'), ('Boulevard', 'StreetNamePostType')]",197-01 Linden Boulevard,,Queens,New York,New York City,40.694014,-73.754767,0.8,Nassau County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,MarlonMargaret DensonJun-253:00 PM,FALSE,FALSE,"[40.694014, -73.754767]"
853,853,6/26/2023,26-Jun,6,27,Mon,2023,Community Board 13 Monthly Meeting,Shana,CB- 13,NO,7:00 PM,No,Meeting ID: 839 4833 6890 Passcode: 655759,"[('Meeting', 'USPSBoxType'), ('ID:', 'USPSBoxType'), ('839', 'USPSBoxID'), ('4833', 'USPSBoxID'), ('6890', 'USPSBoxID'), ('Passcode:', 'USPSBoxID'), ('655759', 'USPSBoxID')]","[('Meeting', 'USPSBoxType'), ('ID:', 'USPSBoxType'), ('839', 'USPSBoxID'), ('4833', 'USPSBoxID'), ('6890', 'USPSBoxID'), ('Passcode:', 'USPSBoxID'), ('655759', 'USPSBoxID')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,ShanaCB- 13Jun-267:00 PM,TRUE,FALSE,
854,854,6/27/2023,27-Jun,6,27,Tue,2023,Queens Justice Center Spirit Week - Healthy Relationships Resource Fair,Dan,Colin Smith,NO,12:00 PM,,Beach 21 Street Plaza Far Rockaway 11691,"[('Beach', 'StreetNamePreType'), ('21', 'StreetName'), ('Street', 'StreetName'), ('Plaza', 'StreetNamePostType'), ('Far', 'PlaceName'), ('Rockaway', 'StateName'), ('11691', 'ZipCode')]","[('Beach', 'StreetNamePreType'), ('21', 'StreetName'), ('Street', 'StreetName'), ('Plaza', 'StreetNamePostType'), ('Far', 'PlaceName'), ('Rockaway', 'StateName'), ('11691', 'ZipCode')]",21 Street Plaza Far,11691,Queens,New York,New York City,40.601475,-73.76191,0.5,Queens County,TIGER/Line® dataset from the US Census Bureau,No Review Needed,FALSE,,DanColin SmithJun-2712:00 PM,FALSE,FALSE,
855,855,6/27/2023,27-Jun,6,27,Tue,2023,Rosedale Civic Association Meeting,Shana,Marcia O'Brien,NO,7:00 PM,No,"Village fellowship Worship Center - 247-11 Francis Lewis Bld, Rosedale NY 11422","[('Village', 'BuildingName'), ('fellowship', 'BuildingName'), ('Worship', 'BuildingName'), ('Center', 'BuildingName'), ('247-11', 'BuildingName'), ('Francis', 'BuildingName'), ('Lewis', 'BuildingName'), ('Bld,', 'BuildingName'), ('Rosedale', 'PlaceName'), ('NY', 'StateName'), ('11422', 'ZipCode')]","[('Village', 'BuildingName'), ('fellowship', 'BuildingName'), ('Worship', 'BuildingName'), ('Center', 'BuildingName'), ('247-11', 'BuildingName'), ('Francis', 'BuildingName'), ('Lewis', 'BuildingName'), ('Bld,', 'BuildingName'), ('Rosedale', 'PlaceName'), ('NY', 'StateName'), ('11422', 'ZipCode')]",Rosedale,11422,Queens,New York,New York City,40.659418,-73.736866,1,Queens County,TIGER/Line® dataset from the US Census Bureau,No Review Needed,FALSE,,ShanaMarcia O'BrienJun-277:00 PM,FALSE,FALSE,
856,856,6/27/2023,27-Jun,6,27,Tue,2023,107 PCT Council Meeting,Rokeya,Carolann Foley,,7:00 PM,,"107 Precinct - 71-01 Parsons Blvd , Fresh Meadows NY 11365","[('107', 'AddressNumber'), ('Precinct', 'StreetName'), ('71-01', 'StreetName'), ('Parsons', 'StreetName'), ('Blvd', 'StreetNamePostType'), ('Fresh', 'PlaceName'), ('Meadows', 'PlaceName'), ('NY', 'StateName'), ('11365', 'ZipCode')]","[('107', 'AddressNumber'), ('Precinct', 'StreetName'), ('71-01', 'StreetName'), ('Parsons', 'StreetName'), ('Blvd', 'StreetNamePostType'), ('Fresh', 'PlaceName'), ('Meadows', 'PlaceName'), ('NY', 'StateName'), ('11365', 'ZipCode')]",107 Precinct 71-01 Parsons Blvd Fresh Meadows,11365,Queens,New York,New York City,40.738884,-73.790067,0.5,Queens County,TIGER/Line® dataset from the US Census Bureau,No Review Needed,FALSE,,RokeyaCarolann FoleyJun-277:00 PM,FALSE,FALSE,
857,857,6/27/2023,27-Jun,6,27,Tue,2023,108th Precinct Council Meeting,Javier,108th Precinct,NO,7:00 PM,No,Sunnyside Community Center,"[('Sunnyside', 'BuildingName'), ('Community', 'BuildingName'), ('Center', 'BuildingName')]","[('Sunnyside', 'BuildingName'), ('Community', 'BuildingName'), ('Center', 'BuildingName')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,Javier108th PrecinctJun-277:00 PM,FALSE,FALSE,
858,858,6/27/2023,27-Jun,6,27,Tue,2023,114th Precinct Community Council Meeting,Javier,Ann Bruno,NO,7:00 PM,No,"25-22 Astoria Blvd, Queens, NY 11102","[('25-22', 'AddressNumber'), ('Astoria', 'StreetName'), ('Blvd,', 'StreetNamePostType'), ('Queens,', 'PlaceName'), ('NY', 'StateName'), ('11102', 'ZipCode')]","[('25-22', 'AddressNumber'), ('Astoria', 'StreetName'), ('Blvd,', 'StreetNamePostType'), ('Queens,', 'PlaceName'), ('NY', 'StateName'), ('11102', 'ZipCode')]",25-22 Astoria Blvd Queens,11102,Queens,New York,New York City,40.771006,-73.922089,1,Queens County,City of New York,No Review Needed,FALSE,,JavierAnn BrunoJun-277:00 PM,FALSE,FALSE,
859,859,6/28/2023,28-Jun,6,27,Wed,2023,PSA Precinct Community Council Meeting,Marlon,Rasheedah Jennings,NO,7:00 PM,No`,4-05 Astoria Boulevard,"[('4-05', 'AddressNumber'), ('Astoria', 'StreetName'), ('Boulevard', 'StreetNamePostType')]","[('4-05', 'AddressNumber'), ('Astoria', 'StreetName'), ('Boulevard', 'StreetNamePostType')]",4-05 Astoria Boulevard,,Queens,New York,New York City,40.7732656,-73.9337288,0.9,New York County,City of New York,Manual Review,FALSE,,MarlonRasheedah JenningsJun-287:00 PM,FALSE,FALSE,"[40.7732656, -73.9337288]"
860,860,6/28/2023,28-Jun,6,27,Wed,2023,105 Precinct Community Council,Shana,105 PCT,,7:00 PM,,,"[('nan', 'Recipient')]","[('nan', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,,,Shana105 PCTJun-287:00 PM,FALSE,TRUE,
861,861,6/28/2023,28-Jun,6,27,Wed,2023,Eid Al Adha Prayer (Festival of Sacrifice),Rokeya,Jamaica Muslim Center,TBD,7:30 AM,,"Thomas A. Edison Career and Technical Education High School
165-65 84th Ave, Queens, NY 11432","[('Thomas', 'Recipient'), ('A.', 'Recipient'), ('Edison', 'Recipient'), ('Career', 'Recipient'), ('and', 'Recipient'), ('Technical', 'Recipient'), ('Education', 'Recipient'), ('High', 'Recipient'), ('School\n', 'Recipient'), ('165-65', 'AddressNumber'), ('84th', 'StreetName'), ('Ave,', 'StreetNamePostType'), ('Queens,', 'PlaceName'), ('NY', 'StateName'), ('11432', 'ZipCode')]","[('Thomas', 'Recipient'), ('A.', 'Recipient'), ('Edison', 'Recipient'), ('Career', 'Recipient'), ('and', 'Recipient'), ('Technical', 'Recipient'), ('Education', 'Recipient'), ('High', 'Recipient'), ('School\n', 'Recipient'), ('165-65', 'AddressNumber'), ('84th', 'StreetName'), ('Ave,', 'StreetNamePostType'), ('Queens,', 'PlaceName'), ('NY', 'StateName'), ('11432', 'ZipCode')]",165-65 84th Ave Queens,11432,Queens,New York,New York City,40.715946,-73.799125,1,Queens County,City of New York,No Review Needed,FALSE,,RokeyaJamaica Muslim CenterJun-287:30 AM,FALSE,FALSE,
862,862,6/28/2023,28-Jun,,,,,100th Precinct Communirty Council Meeting,Dan,Kathy Heavey,NO,7:00 PM,,https://us02web.zoom.us/j/7181001718?pwd=ODFBYnZXQ2xnNnl0MklhNHVIVlQ0QT09.,"[('https://us02web.zoom.us/j/7181001718?pwd=ODFBYnZXQ2xnNnl0MklhNHVIVlQ0QT09.', 'OccupancyIdentifier')]","[('https://us02web.zoom.us/j/7181001718?pwd=ODFBYnZXQ2xnNnl0MklhNHVIVlQ0QT09.', 'OccupancyIdentifier')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,DanKathy HeaveyJun-287:00 PM,FALSE,FALSE,
863,863,6/30/2023,30-Jun,6,27,Fri,2023,"Community Board 8, Queens 10th Annual Health Fair",Rokeya,Community Board 8,NO,3:00 PM,No,"Cunningham Park, 196th Place Union Turnpike","[('Cunningham', 'BuildingName'), ('Park,', 'BuildingName'), ('196th', 'BuildingName'), ('Place', 'BuildingName'), ('Union', 'BuildingName'), ('Turnpike', 'BuildingName')]","[('Cunningham', 'BuildingName'), ('Park,', 'BuildingName'), ('196th', 'BuildingName'), ('Place', 'BuildingName'), ('Union', 'BuildingName'), ('Turnpike', 'BuildingName')]",,,Queens,New York,New York City,40.7291208,-73.7742339,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,RokeyaCommunity Board 8Jun-303:00 PM,FALSE,FALSE,"[40.7291208, -73.7742339]"
864,864,6/30/2023,30-Jun,6,27,Fri,2023,Queens Justice Center Center - Spirit of Queens Festival,Shana,,NO,12:00 PM,No,Archie Spigner Park (St. Albans Park),"[('Archie', 'BuildingName'), ('Spigner', 'BuildingName'), ('Park', 'BuildingName'), ('(St.', 'BuildingName'), ('Albans', 'BuildingName'), ('Park)', 'BuildingName')]","[('Archie', 'BuildingName'), ('Spigner', 'BuildingName'), ('Park', 'BuildingName'), ('(St.', 'BuildingName'), ('Albans', 'BuildingName'), ('Park)', 'BuildingName')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,ShanaJun-3012:00 PM,FALSE,FALSE,
865,865,7/8/2023,8-Jul,7,28,Sat,2023,Eastern Queens Alliance Meeting,Shana,Barbara Brown,No,11:00 AM,no,Zoom link,"[('Zoom', 'Recipient'), ('link', 'Recipient')]","[('Zoom', 'Recipient'), ('link', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,ShanaBarbara BrownJul-0811:00 AM,FALSE,FALSE,
866,866,7/12/2023,12-Jul,7,29,Wed,2023,CCRB July Public Board Meeting,Shana,Jahi Rose,NO,6:30 PM,No,Robert Ross Family Life Center 172-17 Linden Blvd,"[('Robert', 'Recipient'), ('Ross', 'Recipient'), ('Family', 'Recipient'), ('Life', 'Recipient'), ('Center', 'Recipient'), ('172-17', 'AddressNumber'), ('Linden', 'StreetName'), ('Blvd', 'StreetNamePostType')]","[('Robert', 'Recipient'), ('Ross', 'Recipient'), ('Family', 'Recipient'), ('Life', 'Recipient'), ('Center', 'Recipient'), ('172-17', 'AddressNumber'), ('Linden', 'StreetName'), ('Blvd', 'StreetNamePostType')]",172-17 Linden Blvd,,Queens,New York,New York City,40.6922353,-73.7779984,0.8,Nassau County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,ShanaJahi RoseJul-126:30 PM,FALSE,FALSE,"[40.6922353, -73.7779984]"
867,867,7/12/2023,12-Jul,7,29,Wed,2023,33rd Annual Harmony Picnic,Shana,PO McCarthy,no,11:00 AM,no,Baisley Pond Park Extention 150th Street and Conduit Ave,"[('Baisley', 'Recipient'), ('Pond', 'Recipient'), ('Park', 'Recipient'), ('Extention', 'Recipient'), ('150th', 'AddressNumber'), ('Street', 'StreetName'), ('and', 'StreetName'), ('Conduit', 'StreetName'), ('Ave', 'StreetNamePostType')]","[('Baisley', 'Recipient'), ('Pond', 'Recipient'), ('Park', 'Recipient'), ('Extention', 'Recipient'), ('150th', 'AddressNumber'), ('Street', 'StreetName'), ('and', 'StreetName'), ('Conduit', 'StreetName'), ('Ave', 'StreetNamePostType')]",150th Street and Conduit Ave,,Queens,New York,New York City,40.6737751,-73.786025,0.9,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,ShanaPO McCarthyJul-1211:00 AM,FALSE,FALSE,"[40.6737751, -73.786025]"
868,868,7/12/2023,12-Jul,7,29,Wed,2023,106th Precinct Council Meeting,Dan,Frank Dardani,NO,7:30 PM,,"106TH Precinct 103-53 101st St, Queens, NY 11417","[('106TH', 'Recipient'), ('Precinct', 'Recipient'), ('103-53', 'AddressNumber'), ('101st', 'StreetName'), ('St,', 'StreetNamePostType'), ('Queens,', 'PlaceName'), ('NY', 'StateName'), ('11417', 'ZipCode')]","[('106TH', 'Recipient'), ('Precinct', 'Recipient'), ('103-53', 'AddressNumber'), ('101st', 'StreetName'), ('St,', 'StreetNamePostType'), ('Queens,', 'PlaceName'), ('NY', 'StateName'), ('11417', 'ZipCode')]",103-53 101st St Queens,11417,Queens,New York,New York City,40.682172,-73.839852,1,Queens County,City of New York,No Review Needed,FALSE,,DanFrank DardaniJul-127:30 PM,FALSE,FALSE,
869,869,7/13/2023,13-Jul,7,29,Thu,2023,Camping In The Park,Marlon,Det. Tanya Duhaney,NO,5:00 PM,No,Baisley Pond Park,"[('Baisley', 'LandmarkName'), ('Pond', 'LandmarkName'), ('Park', 'LandmarkName')]","[('Baisley', 'LandmarkName'), ('Pond', 'LandmarkName'), ('Park', 'LandmarkName')]",,,Queens,New York,New York City,40.6737751,-73.786025,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,MarlonDet. Tanya DuhaneyJul-135:00 PM,FALSE,FALSE,"[40.6737751, -73.786025]"
870,870,7/13/2023,13-Jul,7,29,Thu,2023,Queens Public Library Hip Hop Card Release Party,Shana,Luisa Benedetto,Yes,Noon,Yes,Central Public Library 89-11 Merrick Blvd Quens NY,"[('Central', 'Recipient'), ('Public', 'Recipient'), ('Library', 'Recipient'), ('89-11', 'AddressNumber'), ('Merrick', 'StreetName'), ('Blvd', 'StreetNamePostType'), ('Quens', 'PlaceName'), ('NY', 'StateName')]","[('Central', 'Recipient'), ('Public', 'Recipient'), ('Library', 'Recipient'), ('89-11', 'AddressNumber'), ('Merrick', 'StreetName'), ('Blvd', 'StreetNamePostType'), ('Quens', 'PlaceName'), ('NY', 'StateName')]",89-11 Merrick Blvd Quens,,Queens,New York,New York City,40.707215,-73.795183,0.8,Queens County,TIGER/Line® dataset from the US Census Bureau,No Review Needed,FALSE,,ShanaLuisa BenedettoJul-13Noon,FALSE,FALSE,
871,871,7/13/2023,13-Jul,7,29,Thu,2023,Community Health Fair,Shana,Oak Street Health,NO,10:00 AM,No,Brooks Senior Center 143-22 109th Avenue Jaiamca NY,"[('Brooks', 'BuildingName'), ('Senior', 'BuildingName'), ('Center', 'BuildingName'), ('143-22', 'AddressNumber'), ('109th', 'StreetName'), ('Avenue', 'StreetNamePostType'), ('Jaiamca', 'PlaceName'), ('NY', 'StateName')]","[('Brooks', 'BuildingName'), ('Senior', 'BuildingName'), ('Center', 'BuildingName'), ('143-22', 'AddressNumber'), ('109th', 'StreetName'), ('Avenue', 'StreetNamePostType'), ('Jaiamca', 'PlaceName'), ('NY', 'StateName')]",143-22 109th Avenue Jaiamca,,Queens,New York,New York City,40.6884492,-73.8030778,0.8,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,ShanaOak Street HealthJul-1310:00 AM,FALSE,FALSE,"[40.6884492, -73.8030778]"
872,872,7/15/2023,15-Jul,7,29,Sat,2023,Queens Royal Priesthood Summer Saftey Event II,Dan,Roselyn Mason,NO,12:00 PM,,Redfern Back Park 15-44 Hassock Street Far Rockaway 11691,"[('Redfern', 'Recipient'), ('Back', 'Recipient'), ('Park', 'Recipient'), ('15-44', 'AddressNumber'), ('Hassock', 'StreetName'), ('Street', 'StreetNamePostType'), ('Far', 'PlaceName'), ('Rockaway', 'StateName'), ('11691', 'ZipCode')]","[('Redfern', 'Recipient'), ('Back', 'Recipient'), ('Park', 'Recipient'), ('15-44', 'AddressNumber'), ('Hassock', 'StreetName'), ('Street', 'StreetNamePostType'), ('Far', 'PlaceName'), ('Rockaway', 'StateName'), ('11691', 'ZipCode')]",15-44 Hassock Street Far,11691,Queens,New York,New York City,40.609088,-73.752909,1,Queens County,City of New York,No Review Needed,FALSE,,DanRoselyn MasonJul-1512:00 PM,FALSE,FALSE,
873,873,7/15/2023,15-Jul,7,29,Sat,2023,St. Albans Jazz and R&B Festival,Dan,Carl Clay,YES,4:00 PM,Marlon,"Archie Spigner Park 169 St., Merrick Blvd. St. Albans","[('Archie', 'BuildingName'), ('Spigner', 'BuildingName'), ('Park', 'BuildingName'), ('169', 'AddressNumber'), ('St.,', 'StreetName'), ('Merrick', 'StreetName'), ('Blvd.', 'StreetNamePostType'), ('St.', 'PlaceName'), ('Albans', 'PlaceName')]","[('Archie', 'BuildingName'), ('Spigner', 'BuildingName'), ('Park', 'BuildingName'), ('169', 'AddressNumber'), ('St.,', 'StreetName'), ('Merrick', 'StreetName'), ('Blvd.', 'StreetNamePostType'), ('St.', 'PlaceName'), ('Albans', 'PlaceName')]","169 St., Merrick Blvd. St. Albans",,Queens,New York,New York City,40.69282219999999,-73.7791627,0.9,Kings County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,DanCarl ClayJul-154:00 PM,FALSE,FALSE,"[40.69282219999999, -73.77916270000001]"
874,874,7/19/2023,19-Jul,7,30,Wed,2023,101 Precinct Council Meeting,Dan,Arlene Cauley,NO,6:30 PM,No,https://zoom.us/j/97440461808?pwd=dXh0dURSaWduU0V1WlZScy9Mb1d5Zz09,"[('https://zoom.us/j/97440461808?pwd=dXh0dURSaWduU0V1WlZScy9Mb1d5Zz09', 'OccupancyIdentifier')]","[('https://zoom.us/j/97440461808?pwd=dXh0dURSaWduU0V1WlZScy9Mb1d5Zz09', 'OccupancyIdentifier')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,DanArlene CauleyJul-196:30 PM,FALSE,FALSE,
875,875,7/22/2023,22-Jul,7,30,Sat,2023,Mini United Nations Food and Music Festival,Rokeya,Somnath Ghimire,NO,11:00 AM,,"Queensbridge Park , 41st Road & 40th Avenue, Astoria NY","[('Queensbridge', 'AddressNumber'), ('Park', 'StreetName'), ('41st', 'StreetName'), ('Road', 'StreetNamePostType'), ('&', 'IntersectionSeparator'), ('40th', 'StreetName'), ('Avenue,', 'StreetNamePostType'), ('Astoria', 'PlaceName'), ('NY', 'StateName')]","[('Queensbridge', 'AddressNumber'), ('Park', 'StreetName'), ('41st', 'StreetName'), ('Road', 'StreetNamePostType'), ('&', 'IntersectionSeparator'), ('40th', 'StreetName'), ('Avenue,', 'StreetNamePostType'), ('Astoria', 'PlaceName'), ('NY', 'StateName')]",Queensbridge Park 41st Road Astoria,,Queens,New York,New York City,40.7566667,-73.9486111,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,RokeyaSomnath GhimireJul-2211:00 AM,FALSE,FALSE,"[40.7566667, -73.9486111]"
876,876,7/22/2023,22-Jul,7,30,Sat,2023,Lions Club Health and Resource Fair,Dan,Romeo Hitlall,NO,11:00 AM,,120TH Street and Liberty Avenue in Richmond Hill,"[('120TH', 'AddressNumber'), ('Street', 'StreetName'), ('and', 'StreetName'), ('Liberty', 'StreetName'), ('Avenue', 'StreetNamePostType'), ('in', 'BuildingName'), ('Richmond', 'BuildingName'), ('Hill', 'BuildingName')]","[('120TH', 'AddressNumber'), ('Street', 'StreetName'), ('and', 'StreetName'), ('Liberty', 'StreetName'), ('Avenue', 'StreetNamePostType'), ('in', 'BuildingName'), ('Richmond', 'BuildingName'), ('Hill', 'BuildingName')]",120TH Street and Liberty Avenue,,Queens,New York,New York City,40.686628,-73.8231812,0.8,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,DanRomeo HitlallJul-2211:00 AM,FALSE,FALSE,"[40.686628, -73.8231812]"
877,877,7/23/2023,23-Jul,7,30,Sun,2023,Egyptian Day Celebration,Rokeya,Moustafa Elsheikh,NO,12:00 PM,,"Steinway Street between 28th and 30t Avenue, Astoria 11103","[('Steinway', 'StreetName'), ('Street', 'StreetNamePostType'), ('between', 'StreetName'), ('28th', 'StreetName'), ('and', 'IntersectionSeparator'), ('30t', 'StreetName'), ('Avenue,', 'StreetNamePostType'), ('Astoria', 'PlaceName'), ('11103', 'ZipCode')]","[('Steinway', 'StreetName'), ('Street', 'StreetNamePostType'), ('between', 'StreetName'), ('28th', 'StreetName'), ('and', 'IntersectionSeparator'), ('30t', 'StreetName'), ('Avenue,', 'StreetNamePostType'), ('Astoria', 'PlaceName'), ('11103', 'ZipCode')]",120TH Street and Liberty Avenue,,Queens,New York,New York City,40.7623967,-73.9118062,0.8,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,RokeyaMoustafa ElsheikhJul-2312:00 PM,FALSE,FALSE,"[40.7623967, -73.9118062]"
878,878,7/26/2023,26-Jul,7,31,Wed,2023,St. John's Hospital Street Re-Naming,Dan,CM Brooks-Powers,NO,10:00 AM,,Beach 20th Street and Brookhaven Avenue in Far Rockaway,"[('Beach', 'StreetNamePreType'), ('20th', 'StreetName'), ('Street', 'StreetNamePostType'), ('and', 'IntersectionSeparator'), ('Brookhaven', 'StreetName'), ('Avenue', 'StreetNamePostType'), ('in', 'BuildingName'), ('Far', 'BuildingName'), ('Rockaway', 'BuildingName')]","[('Beach', 'StreetNamePreType'), ('20th', 'StreetName'), ('Street', 'StreetNamePostType'), ('and', 'IntersectionSeparator'), ('Brookhaven', 'StreetName'), ('Avenue', 'StreetNamePostType'), ('in', 'BuildingName'), ('Far', 'BuildingName'), ('Rockaway', 'BuildingName')]",20th Street,,Queens,New York,New York City,40.5995058,-73.7540711,0.9,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,DanCM Brooks-PowersJul-2610:00 AM,FALSE,FALSE,"[40.5995058, -73.75407109999999]"
879,879,7/29/2023,29-Jul,7,31,Sat,2023,Woodside Houses Family Day,Marlon,Nanzetta McKie,TBD,,,"51-12 31st Avenue, East Elmhurst, NY","[('51-12', 'AddressNumber'), ('31st', 'StreetName'), ('Avenue,', 'StreetNamePostType'), ('East', 'PlaceName'), ('Elmhurst,', 'PlaceName'), ('NY', 'StateName')]","[('51-12', 'AddressNumber'), ('31st', 'StreetName'), ('Avenue,', 'StreetNamePostType'), ('East', 'PlaceName'), ('Elmhurst,', 'PlaceName'), ('NY', 'StateName')]",51-12 31st Avenue East Elmhurst,,Queens,New York,New York City,40.756843,-73.90765,0.8,Queens County,TIGER/Line® dataset from the US Census Bureau,No Review Needed,FALSE,,MarlonNanzetta McKieJul-29,FALSE,FALSE,
880,880,7/29/2023,29-Jul,7,31,Sat,2023,Peace Treaty Walk in Far Rockaway,Dan,Maurice Williams,NO,11:00 AM,,Boardway at Beach 59 Street in Far Rockaway,"[('Boardway', 'PlaceName'), ('at', 'StateName'), ('Beach', 'StreetNamePreType'), ('59', 'StreetName'), ('Street', 'StreetNamePostType'), ('in', 'BuildingName'), ('Far', 'BuildingName'), ('Rockaway', 'BuildingName')]","[('Boardway', 'PlaceName'), ('at', 'StateName'), ('Beach', 'StreetNamePreType'), ('59', 'StreetName'), ('Street', 'StreetNamePostType'), ('in', 'BuildingName'), ('Far', 'BuildingName'), ('Rockaway', 'BuildingName')]",59 Street Boardway,,Queens,New York,New York City,40.5921333,-73.7889274,0,,,Manual Review,FALSE,,DanMaurice WilliamsJul-2911:00 AM,FALSE,FALSE,"[40.5921333, -73.7889274]"
